Country,INR,inv_INR
Argentine Peso,9.707527,0.103013
Australian Dollar,0.017624,56.739589
Bahraini Dinar,0.004515,221.496591
Botswana Pula,0.161149,6.205447
Brazilian Real,0.058266,17.16265
Bruneian Dollar,0.015864,63.036065
Bulgarian Lev,0.021258,47.041967
Canadian Dollar,0.01584,63.130254
Chilean Peso,10.602917,0.094314
Chinese Yuan Renminbi,0.085084,11.753157
Colombian Peso,46.530803,0.021491
Czech Koruna,0.268576,3.723339
Danish Krone,0.081203,12.314814
Euro,0.010869,92.00609
Hong Kong Dollar,0.093873,10.652698
Hungarian Forint,4.170335,0.239789
Icelandic Krona,1.632983,0.612376
Indonesian Rupiah,184.833278,0.00541
Iranian Rial,505.472173,0.001978
Israeli Shekel,0.043257,23.117429
Japanese Yen,1.693409,0.590525
Kazakhstani Tenge,5.466608,0.182929
South Korean Won,15.543287,0.064336
Kuwaiti Dinar,0.00369,271.021736
Libyan Dinar,0.057268,17.461845
Malaysian Ringgit,0.055173,18.124886
Mauritian Rupee,0.528302,1.892858
Mexican Peso,0.20375,4.907977
Nepalese Rupee,1.60075,0.624707
New Zealand Dollar,0.019011,52.60222
Norwegian Krone,0.122149,8.186753
Omani Rial,0.004623,216.327817
Pakistani Rupee,3.375964,0.296212
Philippine Peso,0.665192,1.503326
Polish Zloty,0.047079,21.2411
Qatari Riyal,0.043707,22.879868
Romanian New Leu,0.054095,18.485927
Russian Ruble,1.068072,0.936267
Saudi Arabian Riyal,0.045027,22.208725
Singapore Dollar,0.015864,63.036065
South African Rand,0.219883,4.547869
Sri Lankan Rupee,3.889101,0.257129
Swedish Krona,0.121246,8.247693
Swiss Franc,0.010102,98.98617
Taiwan New Dollar,0.368599,2.712978
Thai Baht,0.412829,2.422313
Trinidadian Dollar,0.081548,12.262661
Turkish Lira,0.354397,2.821692
Emirati Dirham,0.044097,22.677391
British Pound,0.009446,105.86264
US Dollar,0.012007,83.282718
Venezuelan Bolivar,43081.842388,2.3e-05
